ProcessID,Arrival Time,Total CPU Time,Time spent in Ready Queue,Time spent in I/O pool
100,340,1,403,0
101,81,5,555,0
102,2,1,3,0
103,147,9,356,0
104,116,12,634,0
105,271,2,461,0
106,252,10,121,0
107,15,3,37,0
108,248,11,460,3
109,301,12,270,0
110,252,2,70,0
111,215,1,1,0
112,222,15,442,0
113,65,12,540,0
114,224,9,471,2
115,1,3,1,0
116,154,3,65,13
117,307,12,249,7
118,128,1,56,0
119,133,11,365,0
120,4,11,381,0
121,253,13,479,2
122,26,2,560,0
123,203,7,331,0
124,68,10,558,3
125,143,1,6,0
126,88,15,487,3
127,0,2,0,0
128,312,13,254,0
129,135,13,123,11
130,24,14,551,0
131,235,3,7,0
132,88,5,33,0
133,255,9,70,0
134,46,10,106,3
135,291,2,445,0
136,240,3,40,0
137,165,9,14,3
138,330,8,244,0
139,69,6,556,0
140,146,11,14,1
141,217,9,318,0
142,336,4,4,0
143,115,13,369,0
144,150,13,363,1
145,97,9,364,0
146,220,5,320,0
147,63,7,359,0
148,148,9,611,0
149,41,13,704,0
150,54,7,554,5
151,63,1,362,0
152,98,7,66,0
153,171,1,474,0
154,240,11,87,0
155,119,9,372,0
156,200,1,0,0
157,295,7,58,0
158,8,1,6,0
159,13,14,401,0
160,248,14,465,5
161,43,5,4,0
162,18,9,62,12
163,7,4,584,6
164,100,6,11,0
165,11,12,72,6
166,246,11,50,1
167,25,5,7,0
168,340,1,404,0
169,175,11,346,0
170,44,4,367,0
171,21,5,9,0
172,242,1,3,0
173,327,6,422,8
174,304,5,248,0
175,203,7,447,0
176,188,12,340,0
177,43,11,545,0
178,234,12,307,0
179,323,10,54,5
180,142,12,368,6
181,287,13,77,3
182,212,11,447,0
183,295,7,254,0
184,130,6,335,1
185,113,6,70,0
186,90,8,97,0
187,145,8,323,0
188,34,10,42,4
189,125,4,60,0
190,34,10,50,0
191,173,7,345,0
192,224,12,457,0
193,193,12,58,18
194,102,9,340,6
195,77,5,349,0
196,88,5,552,0
197,193,4,41,0
198,304,7,255,0
199,33,10,85,1
