ProcessID,Arrival Time,Total CPU Time,Time spent in Ready Queue,Time spent in I/O pool
100,340,1,1,0
101,81,5,5,5
102,2,1,0,0
103,147,9,14,0
104,116,12,337,0
105,271,2,1,0
106,252,10,207,3
107,15,3,3,0
108,248,11,22,0
109,301,12,440,8
110,252,2,2,0
111,215,1,2,0
112,222,15,443,0
113,65,12,408,0
114,224,9,22,0
115,1,3,3,0
116,154,3,2,0
117,307,12,177,0
118,128,1,0,0
119,133,11,144,0
120,4,11,38,0
121,253,13,494,8
122,26,2,1,0
123,203,7,10,0
124,68,10,216,6
125,143,1,0,0
126,88,15,590,0
127,0,2,5,0
128,312,13,191,0
129,135,13,381,0
130,24,14,674,2
131,235,3,2,0
132,88,5,8,0
133,255,9,8,0
134,46,10,231,6
135,291,2,1,0
136,240,3,3,0
137,165,9,9,0
138,330,8,18,0
139,69,6,9,1
140,146,11,171,8
141,217,9,292,14
142,336,4,3,0
143,115,13,422,5
144,150,13,400,1
145,97,9,460,0
146,220,5,14,11
147,63,7,27,11
148,148,9,33,0
149,41,13,530,0
150,54,7,7,0
151,63,1,2,0
152,98,7,12,0
153,171,1,1,0
154,240,11,119,0
155,119,9,25,0
156,200,1,0,0
157,295,7,13,1
158,8,1,3,0
159,13,14,693,0
160,248,14,483,5
161,43,5,7,0
162,18,9,21,0
163,7,4,7,0
164,100,6,16,2
165,11,12,570,6
166,246,11,332,4
167,25,5,9,0
168,340,1,2,0
169,175,11,199,0
170,44,4,9,0
171,21,5,9,0
172,242,1,2,0
173,327,6,8,1
174,304,5,5,0
175,203,7,19,0
176,188,12,410,0
177,43,11,342,0
178,234,12,485,7
179,323,10,68,0
180,142,12,470,0
181,287,13,343,5
182,212,11,190,0
183,295,7,20,0
184,130,6,6,0
185,113,6,7,0
186,90,8,322,0
187,145,8,37,0
188,34,10,386,0
189,125,4,6,0
190,34,10,395,0
191,173,7,19,3
192,224,12,413,0
193,193,12,456,3
194,102,9,123,1
195,77,5,9,0
196,88,5,13,0
197,193,4,5,0
198,304,7,18,0
199,33,10,406,0
